_id,workup,treatment,symptoms,name,description,other_specific_tests,has_inteli_health_additions
463,A history and physical exam will be performed. X-rays can identify associated fractures. Only an MRI can identify soft tissue injuries such as a meniscus tear. The injury can also be identified during arthroscopic surgery.,"Treatment depends on the extent of the injury but may include: nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn or Aleve), acetaminophen (Tylenol), immobilization, and/or surgery.","Joint pain, locking of the joint, recurrent knee-catching, knee swelling.",Meniscus injury (knee cartilage injury),"A common injury that usually occurs with twisting the knee. The meniscus serves as cushion between the femur and tibia. It helps distribute the weight evenly across the joint. There are two menisci, one on the inner side of the knee (medial) and the other on the outer side (lateral). A torn meniscus can prevent the knee from bending normally causing it to lock.",Arthroscopic surgery,1
464,A history and physical exam will be performed. Hormone tests may be done to establish the diagnosis.,"Menopause is a natural process. Treatment with estrogen can help relieve symptoms such as hot flashes, night sweats, or vaginal dryness.","Decreased sex drive, hot flashes, skin flushing, night sweats, insomnia, vaginal dryness and painful sexual intercourse. Women in menopause have accelerated bone loss that can lead to osteoporosis.",Menopause (end of menstruation and fertility),A stage of a woman's life where the ovaries do not produce enough estrogen to maintain normal menstrual cycles. It often begins with irregular menstrual cycles. Menopause officially starts 12 months after the last menstrual period. It occurs most commonly between 40 and 55 years of age. Declining levels of estrogen cause many of the symptoms. ,,1
465,A history and physical exam will be performed.,"Treatment includes supportive treatment. Sedation may be necessary.

For more information and help call your local poison center at 1-800-222-1222.","Visual hallucinations, altered states of consciousness, anxiety, euphoria, dream-like state.",Peyote abuse (mescaline abuse),"Mescaline is a hallucinogen obtained from the spineless cactus Peyote (Lophophora Williams). It is mainly used as a recreational drug. In some cultures, it is used during religious rites. Use of this drug can cause agitation, a racing heart and severe vomiting. ",,0
466,A history and physical exam will be performed. Additional tests include: CT or MRI scan to identify the metastasis. A Positron Emission Tomography (PET) scan can also be done and may be more accurate in detecting small metastases.,"Depends on the cell type of the metastasis and the location of the metastasis but may include: chemotherapy, radiation therapy and/or surgery.",Depends on the site of the metastasis.,Metastatic neoplasm (cancer spread),"A cancerous growth that arises in a place beyond the original site of the cancer. The original cancer is called the primary tumor and the sites of metastasis are named secondary tumors. The cancer cells of the metastatic tumors have exactly the same appearance as the primary tumor. Metastatic cancers cells can spread by traveling through the blood stream, by using the lymph channels, or by spreading within the abdominal cavity. ",Positron Emission Tomagraphy (PET) scan,0
467,A history and physical exam will be performed. Tests to identify damage from the intoxication will be done.,"Treatment includes supportive treatment. Sedation may be necessary. Anti-psychotics are administered for hallucinations. Once the acute intoxication has resolved behavioral and psychological treatment is used for the addiction. 

For more information and help call your local poison center at 1-800-222-1222.","Agitation, restlessness, panic, repetitive behaviors, tremor, muscle twitches, rapid breathing, confusion, hallucinations.",Methamphetamine abuse,"Methamphetamine is a central nervous system stimulant. It affects chemicals in the brain and nerves that contribute to hyperactivity and loss of impulse control. Methamphetamines are commonly abused, and can be manufactured in makeshift small laboratories. It is taken orally, intranasally, by needle injection, or by smoking. This drug is very addicting and long term use can cause weight loss, severe dental problems, violent behavior, paranoia, visual and auditory hallucinations, and delusions. ",CPK (Creatinine Phospho Kinase),0
468,"A history and physical exam will be performed. Blood tests to help make the diagnosis and check for electrolyte imbalances, and kidney and liver injury. An arterial blood gas will be done to measure the acid content in the blood.","Fomepizole is administered to prevent further metabolism of methanol. Severe intoxication will require dialysis. Supportive treatment including mechanical ventilation and intravenous fluids may be required. 

For more information and help call your local poison center at 1-800-222-1222.","Vomiting, abdominal pain, blurry vision, blindness, confusion, lethargy, seizures, coma. ",Methyl alcohol intoxication (methanol),"Methanol is found in canned heating sources (e.g. STERNO), antifreeze, windshield wiper fluid, fuel additives, and paint removers. Ingestion can be intentional or accidental. Methanol is converted into toxic metabolites that can cause blindness, confusion, and gastrointestinal symptoms. If left untreated it can be deadly.","Alcohol screen, serum osmolality, arterial blood gas (ABG),  (ethanol and toxic alcohol levels)",0
469,"A history and physical exam will be performed. Tests to rule out other causes of the headaches may be done.
","Therapy depends on the severity of the headaches. Several different types of medications may be used including: ergots like dihydroergotamine, ergots with caffeine (Cafergot); and/or triptans like sumatriptan (Imitrex), rizatriptan (Maxalt), almotriptan (Axert), frovatriptan (Frova), and zolmitriptan (Zomig). They can be taken orally, nasally or as a self-injection. Medications to help prevent the frequency and severity of migraines include certain antidepressants, blood pressure medications, and anti-seizure drugs.

For more information contact the American Headache Society: (856)423-0043.","Severe headache (throbbing, pounding, pulsating), nausea, vomiting, sensitivity to light or sound. An aura may precede the headache consisting of seeing stars or zigzag lines, tunnel vision, or a temporary blind spot. ",Migraine (type of headache),"A common type of headache. The typical migraine headache is throbbing or pulsating, and often is associated with nausea and intolerance to light and sound. Many people experience an aura, usually visual changes, before the headache. The headache is usually intense and often incapacitating and is frequently accompanied by nausea and vomiting and an intolerance to light (photophobia). Migraines are believed to be triggered by brain chemicals, but their exact cause of these headaches is not known. Migraines often first occur during the teenage years and are more common in women. Patients who have family members with migraines are at increased risk to develop these headaches.","Lumbar puncture
",1
470,"A history and physical exam will be performed. Additional tests include: blood tests for qualitative HCG (Human chorionic gonadotropin) to confirm pregnancy, quantitaive HCG (Human chorionic gonadotropin) to estimate the age of the pregnancy, and blood type with Rh factor. Also a pelvic ultrasound will usually be done to determine if the fetus is alive.","If an ultrasound demonstrates products of conception are still present in the uterus, a dilation and curettage may be done. Alternatively, misoprostol can be given to medically remove the contents of the pregnancy. Women who are Rh negative will receive a RhoGAM injection to prevent sensitization to future pregnancies. ","Vaginal bleeding, lower abdominal pain, low back pain.",Miscarriage,"A loss of a pregnancy before the 20th week of pregnancy. But most happen before the pregnancy is 12 weeks along. Miscarriage occurs commonly. About 15% to 20% of known pregnancies end in miscarriage. The most common reason is failure of a fertilized egg to progress to an embryo or genetic changes that occur early on in the fetus. A common sign of miscarriage is vaginal bleeding, but many pregnancies with bleeding do not end in miscarriage. ",Type and Rh,1
471,"A history and physical exam will be performed. An echocardiogram establishes the diagnosis. Other tests may be done depending on the symptoms.
","Usually no treatment is necessary. Beta blockers can reduce palpitations. For severe mitral regurgitation, surgery will likely be needed to repair or replace the valve.

For additional information contact the National Heart, Lung and Blood Institute Health Information Center at: http://www.nhlbi.nih.gov or call (301)592-8573","Usually none. Palpitations and/or chest pain. With significant mitral regurgitation, shortness of breath, fatigue and decreased exercise tolerance may occur. ",Mitral valve prolapse (abnormal heart valve),"The mitral valve separates the upper and lower chambers on the left side of the heart (left atrium and left ventricle). The valve opens allowing blood to flow from the left atrium to the left ventricle and then closes preventing blood from flowing backward. The mitral valve consists of two leaflets and prolapse occurs when these leaflets do not close properly and may allow some blood to backflow. It is more common in young to middle age women. Most people do not experience any symptoms. With severe prolapse, backflow of blood (mitral regurgitation) may cause symptoms.
",,1
472,A history and physical exam will be performed. An ultrasound may be done to rule out other causes of the pain.,"No treatment is usually necessary. Nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn or Aleve) and/or acetaminophen (Tylenol), may be used to help relieve pain. ","Lower-abdominal pain usually located on one side, recurrent pain that recurs during the same time in the menstrual cycle, the pain may switch sides from month to month.",Mittelschmerz (ovulation pain),Abdominal pain that occurs at the time of ovulation. The pain results from irritation of the abdominal cavity secondary to bleeding from the ovulation site. About 20% of women experience Mittelschmerz. The presence of the symptoms does not signify any structural disease.,,1
473,A history and physical exam will be performed. The doctor will listen for a fetal heart tone. A pelvic ultrasound will be done to look for a normal pregnancy vs. an abnormal growth in the uterus. ,Treatment includes a dilation and curettage. A hysterectomy may be done for patients not wishing to ever become pregnant.,"Pelvic pain, vaginal bleeding, excessive vomiting, no fetal movement, a uterus larger or smaller than the expected gestational age. ","Molar pregnancy (gestational trophoblastic disease, pregnancy-related tumor)","Results from an abnormal growth of cells that are supposed to develop into the placenta. A mass develops in the uterus instead of a fetus. The exact cause is unknown but may include: defects in the egg, problems within the uterus, or nutritional deficiencies. Women under 20 or over 40 years of age have a higher risk. A molar pregnancy is also called gestational trophoblastic disease or hydatidiform mole.",,1
474,"A history and physical exam will be performed. Blood testing includes: a CBC to detect abnormal white blood cells (atypical lymphocytes), a mono spot test and specific antibodies to Ebstein Barr virus.","Most people recover within 2-6 weeks. Acetaminophen (Tylenol), nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn or Aleve) and drinking plenty of fluids are the mainstay of treatment. There is no specific anti-viral treatment available. A short course of corticosteroids (prednisone) medication may be considered for patients with severe symptoms or a very large spleen. Patients are asked to avoid contact sports to prevent the spleen from rupturing.","Fever; sore throat; large tonsils; swollen lymph nodes, especially in the neck; body aches; loss of appetite; enlarged spleen.",Mononucleosis (common viral illness),"An infectious viral disease, most often caused by the Ebstein Barr virus. This disease occurs commonly in adolescents and young adults and is characterized by fever, sore throat, swollen lymph nodes and marked fatigue. Also known as ""Mono"". Some patients will also have an enlargement of their spleen. This splenic enlargement puts them at risk of life threatening splenic rupture with even minimal abdominal trauma. ",Mono spot,0
475,A history and physical exam will be performed.,No treatment is necessary unless associated with a secondary transmitted infection.,Red itchy bumps in the area of the bite.,Mosquito bite,"Mosquito bites are generally not dangerous. Mosquitoes can pass infections to humans through their saliva during a bite. Examples of such disease include: West Nile virus, malaria, Dengue fever, and Japanese encephalitis. ",,0
476,A history and physical exam will be performed.,"Medications to help prevent and relieve symptoms include scopolamine patch (Transderm Scop) or pills (Scopace); anti-nausea pills such as prochlorperazine (Compazine) and promethazine hydrochloride (Anergan, Phenergan); and antihistamines such as dimenhydrinate (Dramamine), diphenhydramine (Benadryl), and meclizine (Antivert).","Nausea, vomiting, dizziness, unsteady gait, room spinning (vertigo).",Motion sickness,"A disorder characterized by an unpleasant, temporary disturbance that occurs while traveling. Symptoms include dizziness, nausea and/or vomiting. The symptoms become worse with any head movement, and lessen when the eyes are closed. ",,0
477,A history and physical exam will be performed. An MRI scan and electromyography (EMG) are done to establish the diagnosis.,"No cure is available. Treatment is supportive and depends on the severity of the symptoms.

For more information contact the ALS Association: (800)782-4747.","The symptoms become progressively worse and include: muscle weakness and later muscle wasting, fasciculations (involuntary muscle twitching), difficulty swallowing, difficulty breathing. ",Motor neuron disease (progressive nerve disorder),"A group of diseases characterized by degeneration of motor neurons. Afflicted patients experience progressive weakness of voluntary muscle activity including speaking, walking, breathing, and swallowing. The most common disorders include: amyotrophic lateral sclerosis (ALS) (sometimes called Lou Gehrig's disease), primary lateral sclerosis, progressive muscular atrophy, pseudobulbar palsy, and spinal muscular atrophy.",electromyography (EMG),0
478,A history and physical exam will be performed. An x-ray or CT scan may be done to identify associated injuries if warranted.,"Many intraoral mouth lacerations do not need stitches. Large intraoral lacerations and lacerations involving the skin require repair with sutures. Mouth lacerations should be repaired within 12 hours to prevent infection. While waiting for treatment, the laceration can be cleaned with running water and covered with gauze or a clean cloth. Pressure on the wound can be applied to stop bleeding. If the bleeding is profuse consider calling 911. A tetanus shot may be needed. ","Defect in skin, swelling, bleeding.",Mouth laceration (mouth cut),"A defect in the skin or mucous membrane of the mouth caused by trauma. Associated injuries may include the teeth, jaw, lips, tongue, inner cheeks, gums, roof of the mouth (hard or soft palates), neck, or tonsils. If the laceration involves the lips and crosses the juncture between the lighter skin and the redder tissue (vermillion border), the repair tries to accurately approximate the edges of the vermillion border.",,0
479,A history and physical exam will be performed. Depending on the history an x-ray and/or CT scan may be done.,"Depends on the cause of the swelling but may include: Acetaminophen (Tylenol), nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn or Aleve), other anti-inflammatory medications, and/or antibiotics.","Pain, swelling, redness, increased warmth.",Mouth swelling,"The most common causes of mouth swelling are trauma, infections, and allergic reactions.",Mouth biopsy,0
480,A history and physical exam will be performed. Additional tests may include x-rays or facial CT scan to define fractures. ,"Depends on the injury but may include: observation, pain medications, sutures and/or surgery.","Swelling, pain, decreased motion of the jaw, unmatched teeth upon biting down (malocclusion), difficulty swallowing, breathing problems.",Mouth trauma (injury),"Can be penetrating (gunshot wound or stabbing) or blunt (motor vehicle accident or fall). The trauma can result in injury to the teeth, jaw, lips, tongue, inner cheeks, gums, roof of the mouth (hard or soft palates), neck, or tonsils. ",,0
481,"A history and physical exam will be performed. Blood tests, biopsy and/or cultures will be done to identify the parasite. Other test will be performed to identify the damage caused by the infection.","Medications to kill the parasite including: meglumine antimonite, sodium stibogluconate, amphotericin B and/or pentamidine. Plastic surgery may be needed to repair the skin damage. ","The cutaneous form causes: skin sores, skin ulcers, mouth ulcers, painful swallowing.",Mucocutaneous leishmaniasis (parasitic infection),"Caused by the parasite, Leishmania. It is transmitted to humans from the bite of a sand fly. There are two forms: a cutaneous form involving the skin and mucous membranes, and a visceral form involving organs within the body. The parasite is found in every continent except Australia. In the Americas, leishmaniasis can be found in Mexico and South America.","Biopsy of the spleen and culture, Bone marrow biopsy and culture, Direct agglutination assay, Indirect immunofluorescent antibody test, Lymph node biopsy and culture, Montenegro skin test, Skin biopsy",0
482,A history and physical exam will be performed. An ultrasound can detect multiple pregnancies in the first trimester.,"Treatment depends on the number of fetuses, and other factors during the pregnancy. The pregnancy will be monitored closely and the type of delivery will be based on the fetal positions in the uterus.

For more information contact:

Bradley Method of Natural Childbirth: (800)422-4784

International Childbirth Education Association: (800)624-4934

Lamaze International: (800)368-4404

National Hispanic Prenatal Helpline: (800)504-7081","Uterus is larger than expected for the dates in pregnancy, increased morning sickness, increased appetite, excessive weight gain, especially in early pregnancy, fetal movements felt in different parts of abdomen at same time.","Multiple pregnancy (twins, triplets, etc)","A pregnancy of two or more fetuses. Multiple fetuses can be the same (identical) or different (fraternal). The following increase the chance of multiple pregnancies: heredity (a family history of multiple pregnancy increases the chances of having twins); older age (women over 30 have a greater chance of multiple conception); high parity (having one or more previous pregnancies, especially a multiple pregnancy); race (African-American women are more likely to have twins); taking fertility drugs, and receiving fertility treatments to become pregnant.",,0
483,"A history and physical exam will be performed. Diagnosis is made by ruling out other conditions. Tests that are used to confirm multiple sclerosis include: Head MRI scan, spine MRI, lumbar puncture (spinal tap), cerebrospinal fluid tests including CSF (cerebrospinal fluid) oligoclonal banding.","There is no definitive cure, but new treatments can help slow the progression of the disease. Medications that alter the immune response include: immune modulators such as interferon (Avonex, Betaseron, or Rebif), monoclonal antibodies (Tysabri), and glatiramer acetate (Copaxone). Short courses of a corticosteroid (prednisone) can decrease the severity of attacks. Medicines to reduce muscle spasms include baclofen (Lioresal), tizanidine (Zanaflex), or a benzodiazepine such as diazepam (Valium). 

For more information contact:

Multiple Sclerosis Association of America: (800)532-7667

Multiple Sclerosis Foundation (888)673-6287","Symptoms vary widely. They may come and go or remain permanently. Symptoms include impaired vision, numbness, weakness, decreased coordination, poor balance, halting speech, muscle spasms (especially in the legs), muscle spasticity, impaired bladder function.",Multiple sclerosis (MS),"An autoimmune disorder of the central nervous system (brain and spinal cord). Nerve cells normally are surrounded by an insulating sheath made of a fatty substance called myelin that helps to transmit nerve impulses. In MS, this myelin sheath is inflamed or damaged. This disrupts or slows nerve impulses and causes nerves to malfunction. Scarring (sclerosis) occurs in the white matter of the brain and spinal cord. These areas of myelin damage and scarring are called MS plaques. The disease periodically flares up with episodes of increased symptoms. The disease can be mild, and non-progressive disease, can slowly get worse, or get worse rapidly. It is slightly more common in women between the ages of 20 to 40.","Lumbar puncture (spinal tap), cerebrospinal fluid tests including CSF oligoclonal banding",1
484,A history and physical exam will be performed. The presence of fever and swollen parotid glands in a child is sufficient to make the diagnosis. No further testing is usually required. A polymerase chain reaction (PCR) technology test is available but rarely needed.,"There is no specific treatment for mumps. The goal is to reduce symptoms and treatment may include: ice or heat packs, and acetaminophen (Tylenol). Aspirin should not be given to children with a viral illness because of the risk of Reye's syndrome. ","Symptoms begin with fever, headache, and muscle aches for 2-3 days followed by face pain, swelling of the parotid glands, and swelling of the temples or jaw (temporomandibular area).",Mumps (viral infection involving salivary glands),"A contagious disease caused by the mumps virus that produces painful swelling of the parotid glands (the salivary glands that lie between the ear and jaw). The virus may involve the testicles, ovaries, pancreas, breasts, brain and meninges. It is most common in children (2 to 12 years), but 10% of adults are susceptible to mumps. Complications can include sterility, hearing loss, encephalitis and rarely death. Mumps is spread by respiratory droplets that are released into the air when an infected person coughs, sneezes, or talks. The virus can also be spread through contact with contaminated objects, surfaces, or eating utensils. The MMR (measels, mumps, rubella) vaccination given in childhood can prevent the disease.","Polymerase chain reaction (PCR) technology,",1
485,A history and physical exam will be performed. A review of a patient's medical history will reveal an inordinate amount of medical testing with no diagnosis ever confirmed.,"Once confronted with the diagnosis, patients almost always move on to another health care setting. Ideally, they might benefit from long term psychologic and psychiatric therapy. ","Multiple physical complaints, multiple different presentations to different medical facilities, frequent changing of physicians.",Munchausen syndrome (fabricated illness),Repeated fabrication of symptoms and complaints that mimic disease for the purpose of gaining medical attention. Many patients wander from hospital to hospital feigning acute medical or surgical illness and give false information about their medical and social background for no apparent reason other than to gain attention. These patients can experience significant adverse effects from the medical tests and surgical procedures performed.,,0
486,A history and physical exam will be performed. There are no tests to diagnose this disorder. The characteristic sign of this disorder is the child's symptoms go away during hospitalization and reoccur after going back home. ,The child's welfare is the most important part of the treatment and like other forms of child abuse the authorities should be notified. In most cases the child will be removed from the care of the parent and psychiatric treatment and behavioral counseling will be recommended for the parent involved.,"Multiple complaints such as abdominal pain, vomiting, poor appetite, fever, seizures, bloody stools, breathing problems.",Munchausen syndrome by proxy (fabricated illness in a dependent),A form of child abuse. The caretaker (frequently the mother) produces factitious symptoms of disease about the child. This history generates multiple medical tests and surgical procedures on the child and can result in serious adverse effects and significant harm. It is rare and poorly understood. The cause is unknown. ,,0
488,"A history and physical exam will be performed. The following tests are done to confirm the diagnosis: EMG, acetylcholine receptor antibodies, and/or Tensilon (edrophonium) test. A chest CT or MRI scan may be done to look for a thymus tumor (thymoma).","No known cure is available and treatment is aimed at reducing the weakness. Medications to increase the amount of acetylcholine at the muscle receptor are prescribed (neostigmine, pyridostigmine). Medications to suppress the immune system may be recommended (prednisone, azathioprine, cyclosporine, mycophenolate mofetil). Symptoms can vary. Severe symptoms may be treated with plasmapheresis or intravenous immunoglobulin. 

For more information contact:

Myasthenia Gravis Foundation: (800)541-5454","Muscle weakness, muscle weakness that becomes worse as the activity continues and returns after rest, double vision, slurred speech, swallowing problems.","Myasthenia gravis (autoimmune disease of the nerves, muscles)","An autoimmune disorder characterized by progressive fatigue and muscle weakness. Muscle strength may be normal at the beginning of a task such as talking; then it becomes progressively weaker as the activity continues. Antibodies block, alter, or destroy the receptors for acetylcholine at the neuromuscular junction, preventing normal muscle contraction. It is more common in young females. It is sometimes associated with a tumor of the thymus (thymoma).","EMG, acetylcholine receptor antibodies, Tensilon (edrophonium) test ",1
490,A history and physical exam will be performed. Urethral cultures and/or cervical cultures are done to identify the disease.,Most often treatment is with one dose of azithromycin or 7 to 10 days of doxycycline. PID requires treatment with additional antibiotics in case other bacteria are contributing to the condition.,"Often no symptoms. In men with symptoms, burning with urination and penile discharge. In women, vaginal discharge, painful intercourse, rarely fever and pelvic pain.",Mycoplasma genitalium (sexually transmitted disease),"Caused by the bacteria Mycoplasma genitalium and is a common sexually transmitted infection. It often does not cause any symptoms. Men may get a urethritis with painful urination and a penile discharge. Women may have a vaginal discharge, cervix inflammation or pelvic inflammatory disease (PID). PID can cause sterility.","Urethracultures, cervical cultures",0
491,"A history and physical exam will be performed. Blood tests will be done to determine the number and types of blood cells. A bone marrow biopsy will be done to establish the diagnosis, evaluate the stem cells and look for cancers and genetic defects.","Therapy depends on the severity of disease and the chromosomal defect present but may include: erythropoietin or darbepoetin to stimulate red blood cell production, azacitidine (Vidaza) and decitabine (Dacogen) to stimulate stem cell transformation into mature cells, and lenalidomide (Revlimid) in cases with a specific chromosome abnormality. Other treatment options include: blood transfusion, chemotherapy and stem cell transplantation.","Fatigue, pin point reddish-purple skin blotches, frequent infections, easy bruising, shortness of breath, pale skin (anemia).",Myelodysplastic syndrome (bone marrow failure),"A syndrome where the stem cells in the bone marrow fail to develop normally into the white blood cells, red blood cells and platelets needed for normal bodily function. There is a range of severity with some patients experiencing serious low red blood cells, excessive bleeding, and an increase in infections. This disorder can be life threatening and in some cases it can progress to leukemia. The disease is most often seen in patients greater than 60 and is more common in men. The following conditions increase the risk of this disorder: previous treatment for cancer, a family history of the disease, smoking, and exposure to certain chemicals.",Bone marrow biopsy,0
492,A history and physical exam will be performed. Initial testing includes an electrocardiogram (ECG) and blood test for troponin (a heart muscle protein released into the blood during a heart attack). A coronary angiogram can identify the site of coronary artery blockage. A high resolution chest CT scan can also demonstrate blockages. CT scans can also rule out other diseases that can clinically mimic a heart attack. An echocardiogram is done to see how well the heart is pumping.,"Treatment is aimed at improving the blood flow to the heart, treating life threatening arrhythmias, and maximizing the heart function. Anti-platelet drugs, such as aspirin and clopidogrel/Plavix, are given immediately. Coronary (heart) artery blockages are reduced by the following: clot busting medication (alteplase/t-PA), balloon angioplasty, stent placement, surgical bypass, and/or blood thinners. Other medications also given usually include a high dose statin to lower cholesterol, a beta blocker to slow heart rate and an angiotensin enzyme inhibitor (ACEI) that helps the heart remodel appropriately. 

For additional information contact the National Heart, Lung and Blood Institute Health Information Center at: http://www.nhlbi.nih.gov or call (301) 592-8573

American Heart Association: (800) 242-8721
","Chest pain (typically described as squeezing, crushing, or band like), some people may have little or no chest pain (elderly, diabetics, or women). Other symptoms include: jaw pain, arm pain, back pain, abdominal pain, difficulty breathing, sweating, nausea, vomiting, apprehension, fainting, dizziness.",Myocardial infarction (heart attack),"Damage or death of heart muscle cells, caused by a blockage of an artery that supplies oxygen and nutrients to the heart (coronary artery). Symptoms can vary widely and can be atypical in the elderly, diabetics and women. The most common cause of the blockage is build- up of fatty deposits called plaque in the artery (atherosclerosis). High blood pressure, high cholesterol, smoking, family history of heart attacks and diabetes increase the risk of having a heart attack. If untreated, heart failure and death can occur, and at times very rapidly.","Coronary angiography, echocardiogram",0
493,"A history and physical exam will be performed. Initial testing includes blood tests, an electrocardiogram (ECG) and echocardiogram. Cardiac catheterization to look to rule out coronary artery disease may be performed, especially in people over age 40. In some cases, a heart muscle biopsy (endomyocardial biopsy) is recommended.","If the cause of inflammation is diagnosed, treatment will be aimed at the underlying condition. Without a specific diagnosis, drug therapy will be used to treat heart failure and to help prevent the heart failure from getting worse. Abnormal heart rhythms (arrhythmias) may require additional medications, a pacemaker, or an automated implantable cardioverter-defibrillator (AICD).

For more information contact the National Heart, Lung and Blood Institute Health Information Center at: http://www.nhlbi.nih.gov or call (301)592-8573
","Chest pain, shortness of breath, palpitations, fainting, fatigue, exercise intolerance. There may be no symptoms.",Myocarditis (heart muscle inflammation),"Inflammation of the heart muscle (myocardium). The disease can be from an infection (usually viral) or from a complication of an underlying illness, injury, radiation therapy, or toxic reactions to drugs. Inflammation of the lining surrounding the heart can also occur (pericarditis). The severity of the disease can vary widely and the prognosis varies. Many people completely recover. Others have permanent heart damage and heart failure.","Blood cultures, antibody tests against the heart muscle and the body, heart muscle biopsy (endomyocardial biopsy), echocardiogram",1
494,A history and physical exam will be performed. Most people with a myopathy have an elevated blood level of creatinine kinase (CK). Additional blood tests will be done to determine the cause of the myopathy. An electromyogram (EMG) may be performed to help make the diagnosis. A muscle biopsy is the most definitive way to confirm the diagnosis.,"Treatment depends on finding and treating the specific cause. If caused by a statin or alcohol, stopping it can completely cure the condition. Physical therapy and symptomatic treatment may be the only therapies available for congenital myopathies. Corticosteroids, methotrexate and other immunosuppressive therapies are used to treat inflammatory myopathies.",Muscle pain and weakness.,Myopathy (muscle disease),"A general term referring to any disease of muscles. Myopathies can be acquired or inherited, and can occur at birth or later in life. There are many inherited types including: muscular dystrophies, glycogen storage diseases, and congenital myopathies. Other myopathies include those caused by drugs (especially statins), alcohol, or toxins; some endocrine gland disorders, and the inflammatory myopathies, such as dermatomyositis and polymyositis.",Muscle biopsy,0
495,"A history and physical exam will be performed. Most people with a myositis have an elevated blood level of creatinine kinase (CK). Additional blood tests, including antibody tests for autoimmune disease, will be done to determine the cause of the myositis. An electromyogram (EMG) may be performed to help make the diagnosis. A muscle biopsy is the most definitive way to confirm the diagnosis.","Treatment depends on the cause of the muscle inflammation but may include: corticosteroids, immunosuppressive medications (such as methotrexate), and/or antibiotics.",Muscle pain and weakness.,Myositis (muscle inflammation or infection),"A condition in which there is chronic inflammation of the muscles. It's most often caused by an autoimmune disease, such as polymyositis or dermatomyositis, or infection. HIV and other viruses, bacteria (including mycobacteria), fungi, and parasites can cause myositis.","Muscle biopsy, autoimmune blood tests, creatnine kinase (CPK).",1
496,A history and physical exam will be performed. ,"Antibiotics are given when a bacterial cause is suspected. For herpes zoster, an antiviral drug is prescribed. For other viral causes of bullous myringitis, treatment is aimed to reducing pain and fever with acetaminophen (Tylenol) or nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn or Aleve).","Ear pain, fever, decreased hearing.",Myringitis bullosa (ear drum infection),Inflammation of the ear drum (tympanic membrane) caused by a bacterial or viral infection. Bullous myringitis is a particular type of middle ear infection that causes painful pimples (vesicles) on the ear drum. The bacteria and viruses that cause this condition are similar to those that cause the more common middle ear infections. ,,0
497,A history and physical exam will be performed. An x-ray may be done to document associated fracture.,Treatment depends on the extent of injury. At times the nail bed will need repair to prevent permanent disfigurement. A finger guard may be applied to prevent further injury during the healing process.,"Pain, bleeding, swelling.",Nail avulsion (traumatic removal of nail),"Traumatic removal of the finger nail. The injury can have other associated injuries, such as a nail bed laceration that may need to be repaired surgically.",,1
498,A history and physical exam will be performed. An x-ray may be done to identify an associated fracture.,"Drainage of the hematoma by drilling or burning a hole in the nail is the standard treatment. Pain can be treated with acetaminophen (Tylenol) or nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn or Aleve). A finger guard may be applied to prevent further injury during the healing process.","Bluish-purple discoloration under the nail, pain that increases with passage of time, throbbing pain, finger swelling.",Nail bruise (subungual hematoma),A bruise (hematoma) that develops under the fingernail after trauma to the finger. Bruises develop when small blood vessels under the nail tear or rupture. Blood leaks into tissues under the nail and causes the black-and-blue color. The blood becomes trapped under the nail and with time causes increasing pain and pressure.,,0
499,A history and physical exam will be performed. An x-ray may be done to identify an associated fracture.,"The finger and nail are protected from further injury. Pain can be treated with nonsteroidal anti-inflammatory medications/NSAIDs (ibuprofen/Motrin or Advil, naproxen/Naprosyn or Aleve) or acetaminophen (Tylenol).","Painful finger, swelling, tenderness.",Nail contusion (swelling of finger and nail),A blunt injury to the finger can result in pain and swelling of the nail and finger. If no blood develops under the nail (subungual hematoma) the injury is called a nail contusion.,,0
500,A history and physical exam will be performed. An x-ray may be done to identify an associated fracture.,The nail may be removed and the laceration repaired to prevent permanent scarring of the nail when it grows back. Nail and nail bed lacerations should be repaired within 12 hours to prevent infection. While waiting for treatment the laceration can be cleaned with running water and covered with gauze or a clean cloth. Pressure on the wound can be applied to stop bleeding. If the bleeding is profuse consider calling 911. A tetanus shot may be needed.,"Pain, bleeding, a laceration that extends into the nail.",Nail laceration (nail bed cut),A laceration that involves the nail and the nail bed underneath.,,0
